A,BSL,M,TOTAL,PER,LU	325064 	333136 	345857 	373796 	398352 	419457 	437130 	451754 	463726 	473771 	482084 	488398 	492682 	495171 	496256 	496768 	497397 	498313 
A,BSL,M,TOTAL,PER,LV	869057 	876095 	864817 	822089 	783191 	753913 	729770 	708764 	688604 	667720 	646933 	629349 	615859 	605659 	599258 	595721 	594333 	593813 
A,BSL,M,TOTAL,PER,MT	270066 	276703 	289434 	320380 	346931 	368959 	387461 	403113 	416388 	427219 	434443 	437254 	435953 	431192 	424013 	415825 	408034 	400950 
A,BSL,M,TOTAL,PER,NL	8745468 	8828534 	8941175 	9097966 	9206499 	9269184 	9286163 	9275926 	9257898 	9255102 	9272792 	9302199 	9314646 	9298180 	9256188 	9204327 	9156221 	9116883 
A,BSL,M,TOTAL,PER,NO	2737332 	2755119 	2777265 	2860830 	2944055 	3020463 	3087764 	3143731 	3188214 	3224956 	3259274 	3293622 	3326996 	3353552 	3370796 	3381811 	3390711 	3399470 
A,BSL,M,TOTAL,PER,PL	18210293 	18478535 	18432774 	18030849 	17631904 	17336154 	17084719 	16862237 	16626876 	16359114 	16051908 	15731901 	15448032 	15213049 	15044457 	14931069 	14863870 	14819872 
A,BSL,M,TOTAL,PER,PT	4923101 	4940817 	4939984 	4894641 	4840565 	4783089 	4715482 	4637831 	4557775 	4484556 	4422400 	4374892 	4345902 	4337679 	4346831 	4368370 	4401423 	4448710 
A,BSL,M,TOTAL,PER,RO	9239811 	9228527 	9138190 	8860826 	8623486 	8432511 	8269601 	8112631 	7961007 	7802050 	7656588 	7537864 	7457556 	7405783 	7383092 	7377529 	7385399 	7397240 
A,BSL,M,TOTAL,PER,SE	5260707 	5311265 	5387907 	5556817 	5706206 	5853976 	6003904 	6146155 	6269299 	6373311 	6462654 	6542657 	6611842 	6664637 	6698219 	6718659 	6732382 	6735091 
A,BSL,M,TOTAL,PER,SI	1057695 	1062704 	1067238 	1071662 	1073186 	1074794 	1076174 	1074613 	1068934 	1059885 	1050020 	1040921 	1034280 	1029943 	1026498 	1022930 	1018834 	1014074 
A,BSL,M,TOTAL,PER,SK	2657903 	2686032 	2684753 	2657253 	2621998 	2592479 	2567645 	2543383 	2514892 	2478363 	2433309 	2387239 	2348220 	2319106 	2300811 	2290570 	2285431 	2282594 
A,BSL,T,TOTAL,PER,AT	8978929 	9073118 	9111243 	9214690 	9319086 	9413009 	9482146 	9527146 	9542363 	9540690 	9537703 	9543884 	9553802 	9557919 	9558180 	9559004 	9565779 	9576626 
A,BSL,T,TOTAL,PER,BE	11617623 	11730662 	11829411 	12009045 	12179830 	12343820 	12473485 	12559197 	12604824 	12631664 	12656450 	12687096 	12717035 	12727839 	12709791 	12669272 	12617173 	12556067 
A,BSL,T,TOTAL,PER,BG	6838937 	6941042 	6860349 	6574153 	6333689 	6155181 	6001378 	5857619 	5719739 	5577599 	5434519 	5307774 	5207097 	5133224 	5086931 	5066952 	5066236 	5072147 
A,BSL,T,TOTAL,PER,CH	8738791 	8831768 	8923538 	9137089 	9323686 	9485477 	9623066 	9739036 	9823490 	9877710 	9913958 	9945206 	9972444 	9994301 	10013912 	10036738 	10068498 	10104311 
A,BSL,T,TOTAL,PER,CY	904705 	926006 	941765 	957744 	967207 	973876 	978267 	982420 	987214 	992236 	995856 	996715 	995325 	993163 	991819 	993808 	999433 	1007739 
A,BSL,T,TOTAL,PER,CZ	10516707 	10963888 	11017341 	10851301 	10728942 	10716445 	10733221 	10747331 	10747298 	10713330 	10643474 	10568913 	10526487 	10520741 	10541581 	10575571 	10614609 	10645693 
A,BSL,T,TOTAL,PER,DE	83237124 	84551929 	85207514 	85284256 	85216229 	85183945 	85031168 	84813866 	84569064 	84332583 	84229131 	84234786 	84235857 	84174853 	84122425 	84096518 	84106070 	84117337 
A,BSL,T,TOTAL,PER,DK	5873420 	5927971 	5979924 	6059699 	6112281 	6140844 	6149190 	6150048 	6152708 	6163606 	6176804 	6186068 	6190185 	6184150 	6168918 	6149167 	6134161 	6126086 
A,BSL,T,TOTAL,PER,EA20	346668189 	349789230 	351746735 	353028671 	353890599 	354581101 	354249369 	352698869 	350048967 	346822717 	343744478 	341268642 	339348243 	337694132 	336096215 	334456042 	332811109 	331160059 
A,BSL,T,TOTAL,PER,EE	1331796 	1371817 	1377519 	1358611 	1344440 	1342365 	1341698 	1340292 	1336995 	1329771 	1319996 	1310424 	1302767 	1295795 	1290471 	1288111 	1288750 	1289504 
A,BSL,T,TOTAL,PER,EL	10459782 	10416542 	10320364 	10032545 	9758893 	9500551 	9243610 	8964997 	8659463 	8348550 	8053878 	7798839 	7603245 	7465776 	7379838 	7331352 	7301822 	7282525 
A,BSL,T,TOTAL,PER,ES	47432893 	47980384 	48614060 	49266930 	49760920 	50237193 	50527425 	50460161 	50009648 	49296369 	48491039 	47754790 	47178564 	46756869 	46415099 	46040460 	45604524 	45121447 
A,BSL,T,TOTAL,PER,EU27_2020	446735291 	451385792 	453168040 	452700101 	451991345 	451592188 	450322278 	447877407 	444312273 	440054110 	435822969 	432202794 	429327905 	426917266 	424804434 	422860898 	421117527 	419461737 
A,BSL,T,TOTAL,PER,FI	5548241 	5608235 	5640423 	5631487 	5601455 	5561029 	5512800 	5459062 	5400464 	5344791 	5291261 	5236910 	5176288 	5105181 	5022471 	4937309 	4857812 	4784869 
A,BSL,T,TOTAL,PER,FR	67871925 	68227636 	68658223 	69386211 	70026306 	70527060 	70709758 	70641762 	70405341 	70104683 	69844912 	69674928 	69528454 	69331696 	69046355 	68730260 	68400588 	68042806 
A,BSL,T,TOTAL,PER,HR	3862305 	3854381 	3810628 	3693206 	3593292 	3495577 	3400681 	3310003 	3225297 	3148039 	3079755 	3017290 	2963931 	2919932 	2885156 	2858677 	2837415 	2822689 
A,BSL,T,TOTAL,PER,HU	9689010 	9689361 	9644847 	9526758 	9422235 	9340235 	9282370 	9230736 	9190172 	9147771 	9087927 	9026308 	8985052 	8965750 	8969975 	8989102 	9018847 	9054057 
A,BSL,T,TOTAL,PER,IE	5060004 	5174288 	5257383 	5416927 	5579300 	5746237 	5896376 	6009043 	6070015 	6089682 	6085867 	6075058 	6065588 	6054127 	6032265 	5993620 	5937819 	5871387 
A,BSL,T,TOTAL,PER,IS	376248 	386331 	402007 	435095 	465333 	492798 	516791 	537665 	556325 	573463 	588704 	601265 	610719 	616949 	620394 	622128 	623316 	624532 
A,BSL,T,TOTAL,PER,IT	59030133 	59058615 	58951070 	58773783 	58655761 	58519597 	58180562 	57518500 	56536819 	55368858 	54236954 	53332659 	52700144 	52233701 	51787022 	51284037 	50741612 	50194524 
A,BSL,T,TOTAL,PER,LT	2805998 	2869396 	2860472 	2741927 	2622099 	2522535 	2427900 	2337340 	2250264 	2167236 	2088991 	2017152 	1953947 	1898580 	1851346 	1814113 	1790097 	1775674 
